order_id,order_date,brand,model_name,category,gender,size,color,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,payment_method,sales_channel,country,customer_income_level,customer_rating
ORD100020,2/9/2020,Nike,Model-904,Lifestyle,Women,8,Grey,107,30,74.9,4,299.6,Wallet,Retail Store,UK,Low,4.2
ORD100021,8/6/2020,Reebok,Model-712,Basketball,Unisex,11,Black,94,0,94,3,282,Bank Transfer,Online,USA,High,4.7
ORD100022,7/19/2026,Adidas,Model-866,Lifestyle,Unisex,11,Red,64,5,60.8,3,182.4,Card,Online,India,Medium,4
ORD100023,6/18/2024,Nike,Model-991,Training,Men,10,Black,196,5,186.2,2,372.4,Wallet,Online,USA,High,3.4
ORD100024,12/21/2026,Nike,Model-195,Gym,Women,9,Blue,155,0,155,4,620,Bank Transfer,Online,Pakistan,Low,4.8
ORD100025,12/31/2023,Nike,Model-270,Gym,Men,10,Grey,210,20,168,3,504,Wallet,Online,India,Low,3.5
ORD100026,10/16/2018,Reebok,Model-185,Gym,Women,9,White,219,10,197.1,3,591.3,Bank Transfer,Retail Store,Germany,Medium,4.9
ORD100027,10/6/2023,ASICS,Model-745,Gym,Men,9,Red,104,30,72.8,1,72.8,Wallet,Retail Store,UAE,High,4.6
ORD100028,5/29/2019,Puma,Model-430,Lifestyle,Unisex,7,Red,103,15,87.55,2,175.1,Wallet,Retail Store,Pakistan,High,3.2
ORD100029,11/30/2021,Puma,Model-732,Running,Women,9,Black,188,0,188,3,564,Card,Online,USA,High,3.7
ORD100030,3/21/2023,Nike,Model-510,Training,Women,6,Grey,62,30,43.4,4,173.6,Wallet,Retail Store,USA,High,4
ORD100031,7/23/2021,New Balance,Model-763,Running,Women,8,Grey,110,5,104.5,4,418,Card,Online,UAE,Medium,3.6
ORD100032,10/13/2023,Adidas,Model-212,Lifestyle,Men,11,Grey,155,0,155,4,620,Cash,Online,Pakistan,Low,4.9
ORD100033,4/11/2024,ASICS,Model-906,Lifestyle,Men,7,Grey,111,15,94.35,2,188.7,Card,Retail Store,India,Medium,4.4
ORD100034,9/12/2020,New Balance,Model-180,Training,Men,8,Red,160,0,160,4,640,Bank Transfer,Online,UAE,Medium,4.2
ORD100035,4/23/2022,New Balance,Model-954,Training,Men,10,Grey,189,15,160.65,2,321.3,Wallet,Retail Store,USA,Medium,3.7
ORD100036,11/26/2019,Nike,Model-229,Basketball,Unisex,10,Grey,188,10,169.2,2,338.4,Cash,Online,Pakistan,Medium,4
ORD100037,5/27/2025,Adidas,Model-346,Basketball,Unisex,9,Grey,219,30,153.3,4,613.2,Cash,Retail Store,Germany,Low,3.2
ORD100038,2/20/2025,Adidas,Model-393,Lifestyle,Men,10,Grey,182,0,182,3,546,Card,Online,UK,High,4.3
ORD100039,9/1/2020,New Balance,Model-223,Training,Unisex,8,Blue,198,0,198,1,198,Wallet,Retail Store,USA,Medium,3.4
ORD100040,2/10/2020,Adidas,Model-863,Lifestyle,Men,8,Black,152,10,136.8,4,547.2,Cash,Retail Store,India,Low,3.4
ORD100041,5/18/2020,ASICS,Model-246,Basketball,Unisex,9,White,149,10,134.1,3,402.3,Card,Online,USA,Medium,4.3
ORD100042,9/20/2026,Adidas,Model-739,Gym,Men,7,Blue,111,0,111,1,111,Wallet,Online,UK,Low,4.7
ORD100043,2/8/2021,ASICS,Model-572,Gym,Unisex,7,Blue,70,15,59.5,1,59.5,Bank Transfer,Retail Store,UAE,Medium,4.8
ORD100044,10/17/2025,Nike,Model-863,Training,Women,7,Black,101,10,90.9,3,272.7,Card,Online,UK,Medium,5
ORD100045,10/30/2019,Nike,Model-996,Gym,Women,11,Red,119,0,119,2,238,Card,Online,Germany,High,4.8
ORD100046,12/27/2025,Nike,Model-108,Lifestyle,Women,6,White,96,10,86.4,3,259.2,Cash,Online,UAE,Medium,3.7
ORD100047,11/2/2023,Reebok,Model-251,Basketball,Women,11,Red,107,10,96.3,4,385.2,Wallet,Online,Pakistan,High,4.6
ORD100048,11/21/2022,ASICS,Model-724,Basketball,Women,9,Red,211,15,179.35,3,538.05,Cash,Retail Store,UAE,Medium,4.8
ORD100049,7/3/2022,New Balance,Model-211,Gym,Women,11,Grey,143,30,100.1,3,300.3,Card,Online,UAE,Low,4.9
ORD100050,5/7/2018,Puma,Model-995,Lifestyle,Women,11,Black,212,20,169.6,2,339.2,Cash,Online,USA,Low,4.1
ORD100051,1/1/2021,Adidas,Model-780,Training,Unisex,9,White,113,10,101.7,4,406.8,Cash,Retail Store,USA,Low,4.4
ORD100052,1/19/2024,Puma,Model-915,Lifestyle,Women,9,Red,92,30,64.4,1,64.4,Bank Transfer,Retail Store,USA,Medium,3.7
ORD100053,11/1/2019,Adidas,Model-739,Running,Men,6,White,195,10,175.5,1,175.5,Card,Retail Store,UK,High,4.1
ORD100054,1/16/2023,Reebok,Model-121,Basketball,Unisex,11,Grey,174,30,121.8,3,365.4,Card,Online,UAE,Medium,4.2
ORD100055,12/5/2018,ASICS,Model-875,Lifestyle,Men,8,Blue,168,10,151.2,2,302.4,Wallet,Retail Store,USA,High,3.9
ORD100056,12/26/2022,New Balance,Model-383,Training,Women,6,Blue,80,30,56,1,56,Wallet,Retail Store,India,Medium,3.4
ORD100057,5/5/2026,Reebok,Model-646,Running,Men,6,Red,120,10,108,4,432,Wallet,Online,India,Medium,3.1
ORD100058,5/2/2021,New Balance,Model-472,Gym,Unisex,11,Red,217,20,173.6,2,347.2,Wallet,Online,Pakistan,Medium,3.7
ORD100059,4/26/2020,Reebok,Model-401,Running,Women,10,Red,96,20,76.8,1,76.8,Cash,Online,Pakistan,High,4.1
ORD100060,6/26/2022,Nike,Model-260,Gym,Women,8,White,175,20,140,1,140,Bank Transfer,Retail Store,USA,Low,3.3
ORD100061,10/7/2026,Adidas,Model-665,Lifestyle,Unisex,7,Black,84,5,79.8,3,239.4,Bank Transfer,Retail Store,UK,High,4.9
ORD100062,5/8/2025,New Balance,Model-953,Training,Unisex,7,Blue,83,5,78.85,4,315.4,Cash,Retail Store,USA,Medium,3.5
ORD100063,5/20/2025,Adidas,Model-203,Basketball,Unisex,6,Blue,189,5,179.55,1,179.55,Cash,Online,India,Medium,3.3
ORD100064,8/13/2024,Reebok,Model-858,Basketball,Women,7,Blue,98,20,78.4,2,156.8,Cash,Retail Store,Pakistan,High,4.6
ORD100065,7/24/2026,ASICS,Model-605,Gym,Unisex,6,Black,212,20,169.6,4,678.4,Cash,Online,Germany,Low,4.3
ORD100066,4/15/2026,Nike,Model-611,Lifestyle,Women,11,Blue,79,0,79,4,316,Cash,Retail Store,Pakistan,Medium,4.6
ORD100067,8/3/2024,Nike,Model-933,Gym,Men,11,Black,174,15,147.9,2,295.8,Card,Retail Store,Pakistan,Low,3.7
ORD100068,12/29/2018,Reebok,Model-249,Running,Men,7,Red,122,30,85.4,1,85.4,Cash,Online,India,Low,4.7
ORD100069,7/4/2020,Adidas,Model-937,Running,Women,11,Black,108,15,91.8,2,183.6,Bank Transfer,Retail Store,UAE,High,4.1
ORD100070,7/27/2024,ASICS,Model-152,Training,Men,9,Black,160,0,160,4,640,Card,Retail Store,Germany,Medium,3.4
ORD100071,1/16/2026,Adidas,Model-976,Training,Men,9,Black,64,15,54.4,2,108.8,Card,Online,USA,Medium,3.8
ORD100072,11/25/2019,New Balance,Model-368,Basketball,Women,7,Red,158,15,134.3,4,537.2,Wallet,Online,India,Low,4
ORD100073,7/17/2022,Adidas,Model-219,Gym,Men,8,Grey,217,10,195.3,1,195.3,Card,Retail Store,Pakistan,Medium,3.9
ORD100074,11/13/2025,Reebok,Model-216,Running,Unisex,11,Blue,149,20,119.2,2,238.4,Cash,Retail Store,UK,High,4.7
ORD100075,5/16/2024,Nike,Model-740,Lifestyle,Men,7,Black,196,15,166.6,1,166.6,Wallet,Retail Store,USA,Low,4.8
ORD100076,6/1/2022,New Balance,Model-659,Basketball,Women,6,Black,93,30,65.1,2,130.2,Card,Online,Pakistan,Medium,4.3
ORD100077,10/24/2022,Nike,Model-288,Running,Unisex,10,Red,176,0,176,4,704,Card,Online,India,High,4.2
ORD100078,6/3/2021,Reebok,Model-534,Running,Men,10,Blue,135,5,128.25,4,513,Wallet,Online,Pakistan,Low,3.2
ORD100079,7/7/2025,Adidas,Model-168,Gym,Women,6,White,88,30,61.6,4,246.4,Cash,Online,USA,High,3.6
ORD100080,9/26/2023,Reebok,Model-531,Running,Men,10,Blue,203,5,192.85,2,385.7,Wallet,Online,India,High,3.9
ORD100081,9/25/2020,Nike,Model-456,Gym,Men,7,Blue,92,30,64.4,2,128.8,Card,Retail Store,UK,High,4.2
ORD100082,12/25/2026,Reebok,Model-279,Basketball,Men,7,Black,128,15,108.8,2,217.6,Cash,Retail Store,Germany,Medium,4.3
ORD100083,1/4/2023,Puma,Model-424,Lifestyle,Women,10,Black,155,0,155,4,620,Card,Online,USA,Medium,3.3
ORD100084,6/24/2024,ASICS,Model-995,Running,Men,8,Black,83,5,78.85,1,78.85,Bank Transfer,Online,India,Low,4.6
ORD100085,12/16/2023,New Balance,Model-479,Basketball,Unisex,6,Grey,199,5,189.05,3,567.15,Card,Online,Pakistan,High,3.9
ORD100086,11/18/2024,Reebok,Model-676,Basketball,Women,6,Black,160,15,136,3,408,Cash,Online,USA,High,4.3
ORD100087,2/15/2022,Nike,Model-496,Running,Unisex,9,Red,102,15,86.7,1,86.7,Cash,Online,India,Medium,3.2
ORD100088,9/1/2024,ASICS,Model-853,Gym,Women,8,Grey,189,20,151.2,3,453.6,Cash,Retail Store,Pakistan,Low,3.7
ORD100089,1/12/2020,Adidas,Model-701,Training,Men,11,White,149,20,119.2,2,238.4,Bank Transfer,Retail Store,UK,High,4.6
ORD100090,12/6/2019,Nike,Model-600,Training,Men,7,White,164,15,139.4,2,278.8,Cash,Retail Store,USA,Low,4.3
ORD100091,11/30/2019,Reebok,Model-376,Running,Unisex,10,Blue,216,15,183.6,1,183.6,Bank Transfer,Online,India,Medium,3.6
ORD100092,12/25/2021,Reebok,Model-291,Gym,Unisex,8,White,197,20,157.6,1,157.6,Cash,Online,USA,High,5
ORD100093,2/28/2021,Nike,Model-195,Training,Men,11,Grey,95,5,90.25,1,90.25,Wallet,Online,Pakistan,High,4.1
ORD100094,7/26/2024,ASICS,Model-624,Running,Men,6,Grey,71,0,71,3,213,Card,Online,Pakistan,Medium,3.5
ORD100095,8/31/2021,ASICS,Model-161,Gym,Women,9,Blue,89,0,89,1,89,Bank Transfer,Online,USA,Low,4.7
ORD100096,2/2/2022,Puma,Model-118,Gym,Women,6,White,145,20,116,3,348,Cash,Retail Store,Germany,Low,3.1
ORD100097,1/24/2019,Reebok,Model-554,Gym,Unisex,9,White,206,15,175.1,1,175.1,Cash,Online,UK,Medium,4.9
ORD100098,1/7/2026,New Balance,Model-605,Training,Men,10,Blue,187,15,158.95,3,476.85,Wallet,Online,India,Medium,3.2
ORD100099,3/23/2025,Reebok,Model-990,Running,Women,10,Grey,199,0,199,4,796,Card,Online,UK,Low,4.5
ORD100100,10/18/2024,Adidas,Model-208,Lifestyle,Women,10,Blue,210,0,210,3,630,Bank Transfer,Online,UK,Medium,4
ORD100101,5/20/2020,ASICS,Model-262,Basketball,Men,10,Red,201,5,190.95,1,190.95,Cash,Retail Store,Pakistan,High,3.7
ORD100102,8/7/2025,Reebok,Model-173,Running,Men,7,Grey,205,15,174.25,1,174.25,Wallet,Online,UK,Medium,4.2
ORD100103,2/16/2023,New Balance,Model-267,Lifestyle,Men,7,Grey,66,30,46.2,1,46.2,Cash,Retail Store,India,Low,3.8
ORD100104,3/30/2025,New Balance,Model-616,Lifestyle,Women,10,Black,86,5,81.7,2,163.4,Bank Transfer,Online,UK,Medium,3.2
ORD100105,1/15/2018,ASICS,Model-441,Running,Unisex,9,Red,142,20,113.6,1,113.6,Wallet,Retail Store,UAE,Medium,3.5
ORD100106,11/27/2020,Reebok,Model-231,Basketball,Men,9,Black,130,0,130,1,130,Card,Retail Store,India,Medium,3.8
ORD100107,8/2/2022,Adidas,Model-975,Gym,Women,11,Grey,218,10,196.2,1,196.2,Wallet,Online,USA,High,4.4
ORD100108,8/31/2019,Puma,Model-225,Lifestyle,Men,8,White,149,10,134.1,3,402.3,Card,Retail Store,India,High,3.5
ORD100109,6/9/2025,Reebok,Model-575,Lifestyle,Unisex,10,Red,185,5,175.75,4,703,Card,Online,Germany,Low,4.6
ORD100110,4/23/2019,Puma,Model-447,Basketball,Unisex,11,Grey,60,10,54,1,54,Cash,Retail Store,Germany,Medium,3.8
ORD100111,6/29/2025,New Balance,Model-216,Basketball,Men,11,Black,172,0,172,4,688,Bank Transfer,Retail Store,Germany,Low,4.6
ORD100112,3/4/2020,Reebok,Model-914,Basketball,Men,10,Blue,219,20,175.2,1,175.2,Card,Online,UK,High,3.1
ORD100113,1/20/2022,Puma,Model-501,Lifestyle,Women,6,Red,206,15,175.1,1,175.1,Cash,Online,UAE,Low,3.4
ORD100114,9/6/2019,Puma,Model-665,Training,Unisex,11,Black,202,0,202,1,202,Bank Transfer,Online,Germany,High,3.8
ORD100115,2/13/2025,New Balance,Model-883,Running,Unisex,11,Red,71,5,67.45,4,269.8,Card,Online,India,High,3.9
ORD100116,12/8/2019,Reebok,Model-221,Training,Men,9,White,215,20,172,4,688,Cash,Online,Germany,Low,4.3
ORD100117,10/9/2022,Reebok,Model-277,Running,Women,9,Red,195,5,185.25,4,741,Wallet,Online,Pakistan,Medium,3.2
ORD100118,4/17/2023,Puma,Model-601,Basketball,Unisex,6,White,100,15,85,4,340,Bank Transfer,Retail Store,USA,High,3.6
ORD100119,12/3/2019,New Balance,Model-646,Basketball,Men,10,Grey,216,20,172.8,2,345.6,Wallet,Retail Store,UK,High,4.9
ORD100120,1/13/2018,Reebok,Model-549,Lifestyle,Men,7,White,174,20,139.2,3,417.6,Wallet,Online,UAE,Medium,4.9
ORD100121,12/22/2020,New Balance,Model-900,Basketball,Women,11,Blue,168,20,134.4,3,403.2,Cash,Retail Store,USA,Medium,4.6
ORD100122,4/7/2018,Adidas,Model-162,Training,Women,6,White,70,20,56,2,112,Cash,Online,UAE,Low,4.9
ORD100123,3/22/2025,Nike,Model-709,Basketball,Women,6,Black,86,0,86,1,86,Card,Retail Store,India,Medium,3.8
ORD100124,1/23/2018,Adidas,Model-922,Gym,Unisex,11,Blue,188,20,150.4,4,601.6,Wallet,Retail Store,UAE,Medium,4.4
ORD100125,1/9/2019,New Balance,Model-870,Lifestyle,Women,10,White,154,20,123.2,2,246.4,Cash,Retail Store,UK,Medium,4.2
ORD100126,6/10/2023,Adidas,Model-557,Lifestyle,Unisex,8,White,112,20,89.6,2,179.2,Card,Online,USA,Low,3.5
ORD100127,2/7/2018,ASICS,Model-100,Running,Women,8,Grey,137,0,137,2,274,Cash,Online,UK,Medium,3.5
ORD100128,7/15/2023,New Balance,Model-980,Training,Men,7,Blue,63,30,44.1,1,44.1,Bank Transfer,Retail Store,UK,High,3.7
ORD100129,8/20/2018,New Balance,Model-773,Lifestyle,Women,11,Red,131,5,124.45,2,248.9,Card,Retail Store,India,Low,4.5
ORD100130,7/24/2025,Adidas,Model-153,Lifestyle,Men,9,Black,182,5,172.9,4,691.6,Bank Transfer,Retail Store,USA,Low,4.1
ORD100131,8/31/2019,Adidas,Model-866,Gym,Men,10,Black,116,0,116,4,464,Card,Online,Pakistan,Medium,4.2
ORD100132,2/3/2026,Nike,Model-202,Lifestyle,Women,11,Grey,125,10,112.5,3,337.5,Cash,Retail Store,India,High,4.2
ORD100133,5/19/2019,New Balance,Model-949,Training,Women,11,Black,97,5,92.15,2,184.3,Bank Transfer,Retail Store,UK,High,4.1
ORD100134,7/22/2026,ASICS,Model-580,Lifestyle,Women,9,Grey,111,0,111,2,222,Bank Transfer,Online,Germany,Medium,3.6
ORD100135,6/15/2024,Reebok,Model-232,Lifestyle,Women,10,White,165,10,148.5,1,148.5,Wallet,Retail Store,India,Medium,3.3
ORD100136,1/21/2020,New Balance,Model-607,Running,Unisex,9,Grey,204,5,193.8,1,193.8,Card,Retail Store,Germany,Medium,3.9
ORD100137,9/6/2018,ASICS,Model-549,Lifestyle,Women,10,White,93,30,65.1,1,65.1,Bank Transfer,Retail Store,Germany,High,3.4
ORD100138,7/17/2025,ASICS,Model-210,Training,Unisex,6,Blue,102,10,91.8,3,275.4,Wallet,Online,UAE,High,3.9
ORD100139,11/12/2025,Reebok,Model-619,Running,Unisex,9,Red,139,10,125.1,2,250.2,Wallet,Online,USA,High,3.4
ORD100140,1/3/2021,ASICS,Model-294,Running,Men,8,Red,84,10,75.6,4,302.4,Cash,Retail Store,Germany,Low,4.3
ORD100141,11/3/2019,Reebok,Model-502,Training,Women,10,Black,120,5,114,3,342,Card,Retail Store,Germany,Low,3.3
ORD100142,1/28/2023,ASICS,Model-633,Lifestyle,Men,10,Red,151,5,143.45,1,143.45,Wallet,Online,India,High,4.1
ORD100143,8/7/2023,Adidas,Model-445,Basketball,Unisex,11,Black,192,0,192,4,768,Cash,Online,UAE,Low,3.7
ORD100144,5/7/2020,Nike,Model-172,Running,Unisex,7,White,137,5,130.15,1,130.15,Cash,Retail Store,India,Medium,4.6
ORD100145,9/19/2022,Reebok,Model-155,Training,Unisex,11,White,180,30,126,3,378,Wallet,Retail Store,Germany,Low,3.3
ORD100146,10/22/2023,Nike,Model-125,Lifestyle,Unisex,9,Blue,107,20,85.6,1,85.6,Card,Online,India,High,4.6
ORD100147,8/24/2021,Nike,Model-791,Running,Women,11,Black,172,10,154.8,1,154.8,Wallet,Retail Store,UK,Medium,3.5
ORD100148,9/26/2021,Nike,Model-485,Training,Men,10,Grey,87,30,60.9,4,243.6,Wallet,Retail Store,USA,Medium,3.1
ORD100149,1/27/2018,New Balance,Model-102,Training,Men,11,Black,115,10,103.5,3,310.5,Cash,Online,UK,Medium,4.5
ORD100150,6/24/2019,Nike,Model-838,Lifestyle,Women,8,Black,77,5,73.15,2,146.3,Card,Online,Germany,Medium,3.5
ORD100151,9/2/2026,ASICS,Model-813,Lifestyle,Women,6,White,178,20,142.4,4,569.6,Wallet,Online,Germany,Medium,4.7
ORD100152,7/13/2021,Adidas,Model-911,Running,Women,6,Grey,145,5,137.75,2,275.5,Wallet,Retail Store,USA,Low,4.8
ORD100153,11/10/2023,Nike,Model-166,Gym,Men,6,Blue,84,15,71.4,2,142.8,Bank Transfer,Online,UAE,High,4
ORD100154,11/14/2025,ASICS,Model-569,Gym,Men,7,White,170,15,144.5,3,433.5,Bank Transfer,Online,USA,High,4.1
ORD100155,11/10/2018,Reebok,Model-653,Basketball,Unisex,6,Red,172,15,146.2,3,438.6,Wallet,Online,UK,Medium,3.7
ORD100156,6/13/2023,Nike,Model-414,Running,Men,10,Blue,85,5,80.75,3,242.25,Wallet,Retail Store,Germany,Medium,3.7
ORD100157,8/7/2024,ASICS,Model-761,Gym,Unisex,10,Black,180,0,180,1,180,Wallet,Retail Store,USA,Medium,3.3
ORD100158,6/5/2021,Puma,Model-942,Training,Men,11,Black,171,15,145.35,2,290.7,Wallet,Retail Store,UAE,High,3.6
ORD100159,5/16/2026,Reebok,Model-998,Gym,Unisex,8,Blue,154,0,154,3,462,Bank Transfer,Online,India,High,3
ORD100160,8/15/2020,Nike,Model-567,Basketball,Women,9,Blue,95,30,66.5,2,133,Bank Transfer,Retail Store,USA,Low,4.8
ORD100161,1/9/2026,ASICS,Model-980,Running,Women,11,Red,138,30,96.6,2,193.2,Bank Transfer,Online,USA,Medium,3.3
ORD100162,5/25/2019,ASICS,Model-946,Training,Women,8,Red,121,0,121,2,242,Card,Online,UAE,Medium,4.1
ORD100163,3/18/2023,Puma,Model-509,Training,Women,11,Red,103,20,82.4,2,164.8,Wallet,Retail Store,Germany,High,4.4
ORD100164,4/1/2018,Adidas,Model-658,Basketball,Men,6,Blue,79,0,79,4,316,Bank Transfer,Online,UAE,High,4.2
ORD100165,5/20/2024,Adidas,Model-993,Gym,Unisex,8,Black,123,30,86.1,1,86.1,Wallet,Retail Store,Germany,High,4.9
ORD100166,9/23/2018,Reebok,Model-772,Basketball,Unisex,11,White,136,10,122.4,3,367.2,Wallet,Retail Store,Pakistan,High,3.7
ORD100167,9/11/2019,ASICS,Model-749,Running,Women,9,Black,69,20,55.2,3,165.6,Cash,Retail Store,USA,Medium,3.4
ORD100168,4/23/2024,Adidas,Model-418,Basketball,Unisex,10,Blue,189,15,160.65,1,160.65,Wallet,Retail Store,Germany,Medium,3
ORD100169,12/21/2025,New Balance,Model-649,Basketball,Women,8,Red,68,10,61.2,3,183.6,Wallet,Online,Germany,Medium,3.7
ORD100170,6/25/2023,Reebok,Model-335,Lifestyle,Men,7,Black,108,20,86.4,2,172.8,Wallet,Online,UAE,Medium,3.2
ORD100171,3/20/2021,Adidas,Model-687,Running,Men,8,Grey,179,10,161.1,1,161.1,Bank Transfer,Retail Store,Germany,Low,3.1
ORD100172,12/11/2026,ASICS,Model-931,Gym,Unisex,10,Black,99,30,69.3,4,277.2,Card,Online,Pakistan,Low,3.3
ORD100173,6/13/2025,Puma,Model-927,Gym,Unisex,11,Red,164,20,131.2,2,262.4,Bank Transfer,Retail Store,India,Medium,4.7
ORD100174,11/13/2026,Adidas,Model-177,Gym,Women,7,Red,64,10,57.6,3,172.8,Card,Retail Store,UK,High,4.8
ORD100175,12/9/2019,Nike,Model-188,Basketball,Unisex,7,Black,148,20,118.4,2,236.8,Cash,Retail Store,USA,Medium,4.6
ORD100176,8/28/2021,ASICS,Model-790,Lifestyle,Women,10,Blue,98,30,68.6,4,274.4,Cash,Online,India,Low,3.6
ORD100177,10/4/2025,ASICS,Model-244,Gym,Men,6,Blue,82,0,82,1,82,Bank Transfer,Retail Store,India,Low,3.8
ORD100178,3/10/2019,Nike,Model-297,Running,Men,11,Blue,112,10,100.8,3,302.4,Bank Transfer,Retail Store,Pakistan,Low,3.7
ORD100179,3/8/2022,ASICS,Model-722,Running,Men,10,Blue,101,15,85.85,3,257.55,Bank Transfer,Online,Germany,High,4
ORD100180,1/27/2018,ASICS,Model-649,Running,Men,6,Grey,214,15,181.9,1,181.9,Wallet,Online,USA,Medium,3.6
ORD100181,5/29/2022,Puma,Model-295,Running,Men,11,White,214,0,214,2,428,Wallet,Retail Store,Germany,Low,4.4
ORD100182,10/6/2021,Puma,Model-964,Training,Men,11,Grey,64,10,57.6,2,115.2,Wallet,Retail Store,India,Medium,4.6
ORD100183,4/14/2023,Puma,Model-315,Gym,Men,9,White,218,15,185.3,1,185.3,Bank Transfer,Online,India,Medium,3.8
ORD100184,10/16/2018,Puma,Model-146,Lifestyle,Women,9,Black,216,20,172.8,1,172.8,Cash,Retail Store,Germany,Low,4.4
ORD100185,9/13/2018,ASICS,Model-726,Lifestyle,Women,8,Blue,189,10,170.1,3,510.3,Cash,Online,Pakistan,Low,4.1
ORD100186,12/2/2025,New Balance,Model-168,Running,Women,9,Black,85,10,76.5,3,229.5,Cash,Online,UAE,High,3.4
ORD100187,12/15/2018,Nike,Model-811,Basketball,Women,7,Black,133,30,93.1,2,186.2,Cash,Retail Store,Pakistan,High,4.9
ORD100188,6/14/2024,New Balance,Model-715,Basketball,Men,11,Grey,199,5,189.05,1,189.05,Card,Online,UK,Low,3.2
ORD100189,3/23/2026,Nike,Model-559,Basketball,Women,9,Grey,170,15,144.5,3,433.5,Wallet,Retail Store,UAE,Medium,4.1
ORD100190,5/11/2026,Reebok,Model-904,Running,Unisex,7,Grey,127,20,101.6,4,406.4,Bank Transfer,Online,Pakistan,Medium,4.5
ORD100191,5/9/2018,ASICS,Model-150,Training,Women,10,Black,90,5,85.5,1,85.5,Wallet,Retail Store,India,Medium,3.2
ORD100192,12/16/2023,Adidas,Model-506,Gym,Unisex,6,Blue,100,30,70,3,210,Cash,Online,Pakistan,High,3.2
ORD100193,5/31/2025,Adidas,Model-519,Training,Women,11,Grey,208,5,197.6,2,395.2,Wallet,Online,USA,Medium,4.7
ORD100194,3/7/2022,Adidas,Model-470,Training,Men,10,White,60,30,42,3,126,Wallet,Retail Store,UAE,Medium,3.8
ORD100195,9/30/2018,Nike,Model-535,Lifestyle,Unisex,6,Blue,112,0,112,2,224,Bank Transfer,Retail Store,India,Low,3
ORD100196,11/10/2026,Reebok,Model-701,Running,Unisex,8,Grey,94,15,79.9,1,79.9,Card,Online,USA,Low,4.8
ORD100197,10/27/2023,New Balance,Model-517,Gym,Women,8,White,194,5,184.3,3,552.9,Card,Retail Store,Pakistan,Low,3.9
ORD100198,4/24/2025,Nike,Model-281,Basketball,Women,6,Blue,167,10,150.3,3,450.9,Wallet,Retail Store,India,High,4
ORD100199,6/1/2026,Nike,Model-384,Lifestyle,Women,8,Blue,147,0,147,1,147,Card,Online,USA,Medium,4.3
ORD100200,9/14/2022,ASICS,Model-148,Basketball,Unisex,6,Blue,215,5,204.25,1,204.25,Bank Transfer,Retail Store,UAE,Low,4.9
